"事务名称","应用名称","Apdex","响应时间中位数(ms)","响应时间 P75 (ms)","响应时间 P95 (ms)","响应时间 P99 (ms)","平均请求时间","吞吐率 (/s)","请求数","错误率(%)","错误次数","慢次数","异常次数","请求类型"
"URI/grcv5/dwr/call/plaincall/dwrQuickLinkService.findDraftListByAccount.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","74.54261147103658","83.05172089367377","116.89889862980036","129.21209059316007","86.19","< 0.01","242","0.00","0","0","0","Web请求"
"SpringController/serverapi/cw/acquire/contractInfo (POST)","org.springframework.boot.loader.WarLauncher","0.5365853658536586","721.0970042684804","867.4582774120828","984.5473068210906","1202.0885777464864","650.24","< 0.01","41","0.00","0","0","121","Web请求"
"SpringController/serverapi/restapi/other/v1/download-attachments/{code}","fawuorg.springframework.boot.loader.WarLauncher","0.9735869966752863","72.85636655745968","144.15751434885732","418.8968134546543","2287.924290087636","157.87","0.03","5414","0.00","0","66","0","Web请求"
"URI/grcv5/wp/contractStand/G_1_editContractStand1.htm","org.springframework.boot.loader.WarLauncher","1.0","72.081298828125","84.0948486328125","110.1243896484375","116.42487192107365","74.40","< 0.01","5","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrCockpitService.caseData.dwr","org.springframework.boot.loader.WarLauncher","1.0","72.081298828125","82.89349365234375","198.38585102453362","199.67717071803054","84.83","< 0.01","6","0.00","0","0","0","Web请求"
"URI/grcv5/wp/contractTemplate/templateView.htm","fawuorg.springframework.boot.loader.WarLauncher","1.0","72.081298828125","86.8731689453125","87.77463364577852","87.9549268007977","70.67","< 0.01","3","0.00","0","0","0","Web请求"
"URI/grcv5/bpm/edit.htm","org.springframework.boot.loader.WarLauncher","0.5","711.0","711.0","711.0","711.0","711.00","< 0.01","1","0.00","0","0","6","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrOppositeService.findOppositeByCertificateNum.dwr","fawuorg.springframework.boot.loader.WarLauncher","1.0","70.5","70.75","70.94999998807907","70.99000000953674","70.50","< 0.01","2","0.00","0","0","0","Web请求"
"URI/grcv5/dwr/call/plaincall/dwrWorkflowListService.findProcessedListAll.dwr","org.springframework.boot.loader.WarLauncher","0.9723264540337712","70.30395173373287","191.42153371891504","501.6742036620803","1220.3140326633916","160.40","< 0.01","1066","0.00","0","5","0","Web请求"
"URI/grcv5/dwr/call/plaincall/hdCommunicationService.showCancelButton.dwr","fawuorg.springframework.boot.loader.WarLauncher","0.9988636363636364","7.99167576419214","9.815502183406114","11.274563318777293","22.21177089214325","9.58","< 0.01","440","0.00","0","0","0","Web请求"
