"事务别名","名称","平均响应时间(ms)","总耗时(ms)","耗时百分比(%)","请求数","吞吐率(tps)","错误率(%)","错误数","慢次数","应用"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.queryCreditLimitInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.queryCreditLimitInfo.dwr","999.0","999","0.004129187","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getgeneralContractList.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getgeneralContractList.dwr","990.0","1980","0.008183975","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.queryCreditLimitInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.queryCreditLimitInfo.dwr","988.6667","2966","0.012259428","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.getContractAmountStatistic.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.getContractAmountStatistic.dwr","986.0","2958","0.012226362","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getintervalTimeContractList.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getintervalTimeContractList.dwr","963.0","1926","0.007960775","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/flowDesignService.updateFlow.dwr","URI/grcv5/dwr/call/plaincall/flowDesignService.updateFlow.dwr","922.0","922","0.0038109215","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getTypeContractList.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getTypeContractList.dwr","919.0","1838","0.0075970427","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppDockingService.oppositeDocking.dwr","URI/grcv5/dwr/call/plaincall/dwrOppDockingService.oppositeDocking.dwr","857.6","8576","0.035447355","10","5.787037E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/processed (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/user-tasks/processed (POST)","760.7217","73790","0.3049977","97","5.613426E-4","0.0","0","6","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrPerformFeedbackService.changeElementFinish.dwr","URI/grcv5/dwr/call/plaincall/dwrPerformFeedbackService.changeElementFinish.dwr","760.0","2280","0.00942397","3","1.7361112E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}/preview","SpringController/${url.attachment}/${url.attachment.download}/preview","741.5","1483","0.006129714","2","1.1574074E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrHdWorkflowService.save.dwr","URI/grcv5/dwr/call/plaincall/dwrHdWorkflowService.save.dwr","740.9659","195615","0.80853945","264","0.0015277778","0.0","0","16","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getContractabnormalCount.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getContractabnormalCount.dwr","713.5","1427","0.0058982484","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/bpm/edit.htm","URI/grcv5/bpm/edit.htm","711.0","711","0.0029387907","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cw/acquire/contractInfo (POST)","SpringController/serverapi/cw/acquire/contractInfo (POST)","682.3077","17740","0.073325105","26","1.5046296E-4","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrTodolistService.setSeenFlag.dwr","URI/grcv5/dwr/call/plaincall/dwrTodolistService.setSeenFlag.dwr","679.47156","465438","1.9238044","685","0.0039641205","0.0","0","61","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrTodolistService.setSeenFlag.dwr","URI/grcv5/dwr/call/plaincall/dwrTodolistService.setSeenFlag.dwr","679.1108","239047","0.98805785","352","0.002037037","0.0","0","19","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.view}","SpringController/${url.workflow.view}","672.2727","88740","0.36679086","132","7.638889E-4","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/cw/acquire/contractInfo (POST)","SpringController/serverapi/cw/acquire/contractInfo (POST)","649.9268","26647","0.11014059","41","2.3726851E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task/dispatch (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task/dispatch (POST)","636.5316","171227","0.7077361","269","0.001556713","0.37174723","1","5","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/todo-pages/{id}","SpringController/${url.rest.prefix.flowmobileapi.v1}/task-form-process/todo-pages/{id}","612.08575","335423","1.3864107","548","0.0031712963","16.78832","92","8","org.springframework.boot.loader.WarLauncher"
"SpringController/v2/api-docs","SpringController/v2/api-docs","601.0","601","0.0024841256","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task/dispatch (POST)","SpringController/${url.rest.prefix.flowmobileapi.v1}/process-drive/task/dispatch (POST)","593.383","83667","0.3458225","141","8.159722E-4","0.7092199","1","3","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.view}","SpringController/${url.workflow.view}","575.26587","144967","0.59919506","252","0.0014583333","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.edit}","SpringController/${url.workflow.edit}","567.53204","442675","1.8297176","780","0.004513889","0.0","0","9","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.rest.prefix.mobileapi.v1}/user-manager/group/getChildrens (POST)","SpringController/${url.rest.prefix.mobileapi.v1}/user-manager/group/getChildrens (POST)","556.0","556","0.0022981262","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getUnitAmountData.dwr","URI/grcv5/dwr/call/plaincall/dwrContractStatisticsService.getUnitAmountData.dwr","548.0","1096","0.0045301192","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.edit}","SpringController/${url.workflow.edit}","518.43146","181451","0.7499951","350","0.002025463","0.0","0","2","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}","SpringController/${url.attachment}/${url.attachment.download}","484.36642","63452","0.26226744","131","7.581019E-4","0.0","0","3","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/serverapi/v1/zg-user-org/receiveUserAndOrg (POST)","SpringController/serverapi/v1/zg-user-org/receiveUserAndOrg (POST)","483.0","483","0.0019963938","1","5.787037E-6","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}/previewAnnexWord","SpringController/${url.attachment}/${url.attachment.download}/previewAnnexWord","435.20514","16973","0.070154846","39","2.2569444E-4","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.state2}","SpringController/${url.workflow.state2}","430.27026","15920","0.06580246","37","2.1412037E-4","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluatesByEvaluateId.dwr","URI/grcv5/dwr/call/plaincall/dwrLasContractCloseService.getOppoEvaluatesByEvaluateId.dwr","425.5","4255","0.017587278","10","5.787037E-5","0.0","0","1","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.initIamContractInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.initIamContractInfo.dwr","423.0","846","0.0034967891","2","1.1574074E-5","0.0","0","0","org.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrContractInfoService.initIamContractInfo.dwr","URI/grcv5/dwr/call/plaincall/dwrContractInfoService.initIamContractInfo.dwr","420.0","420","0.0017359946","1","5.787037E-6","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"SpringController/${url.attachment}/${url.attachment.download}/preview","SpringController/${url.attachment}/${url.attachment.download}/preview","416.4468","19573","0.08090148","47","2.7199075E-4","0.0","0","1","org.springframework.boot.loader.WarLauncher"
"SpringController/${url.workflow.state2}","SpringController/${url.workflow.state2}","406.3158","7720","0.031909235","19","1.09953704E-4","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
"URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.findCreditLimitContractList.dwr","URI/grcv5/dwr/call/plaincall/dwrOppositeAccessService.findCreditLimitContractList.dwr","401.0","1203","0.0049723843","3","1.7361112E-5","0.0","0","0","fawuorg.springframework.boot.loader.WarLauncher"
